english	telugu
నాకు క్రెడిట్ అవసరం లేదు.	I dont want any credit
ప్రస్తుత విండొ లేక పత్రాన్ని మూసివేయి	Close the current window.
ఆ పని మనం చెయ్యగలం.	We can do this thing.
అందులో ఇద్దరు మృత్యువాత పడ్డారు.	Two of them died.
తలకి తీవ్రగాయాలవడంతో చిన్నారి కొద్దిసేపటికే మృతి చెందాడు.	The child had died due to a head injury.
అసోం బిజెపికే అనుకూలం!	Advantage BJP!
సైన్స్‌, ఇంజినీరింగ్‌ విభాగాలు , సంస్థలోని వివిధ అనుబంధ కేంద్రాలకు చెందిన 360 మందికి పైగా అధ్యాపకులు బోధన, పరిశోధన , ఇండస్ట్రియల్‌ కన్సెల్టీకి సంబంధించిన పనులు చేస్తున్నారు.	About 360 faculty belonging to science and engineering departments and centres of the Institute are engaged in teaching, research and industrial consultancy.
వీరి నుంచి నమూనాలు సేకరించి పరీక్షల నిమిత్తం పూణె పంపించారు.	Samples were taken from them and sent for tests.
ఆ తర్వాత సరళకి పెళ్లి కావడంతో ఇంటి పేరు మారి పోయింది.	After marriage, your name got changed.
ఓ ట్రాఫిక్ పోలీస్ మాత్రం వాళ్ళను నిలువరించడానికి ప్రయత్నించాడు.	A traffic policeman tried to stop them.
అమెరికాకి చెందిన మత ప్రబోధకులు ఉన్నత విద్య కొరకు స్థాపించిన అనేక ఇతర సంస్థలు ఈ రోజుకు కూడా పనిచేస్తున్నాయి.	The remnants of where many of the old forgotten business once stood can still be seen today.
‘నాకు నటన అంటే ఎంతో ఆసక్తి.	"""I am very fond of acting."
ఆ పుస్తకాన్ని www.jw.org వెబ్‌సైట్‌లో చూడొచ్చు లేదా ఈ కోడ్‌ స్కాన్‌ చేయవచ్చు	For more information, see chapter 2 of the book What Does the Bible Really Teach?
కేరళలో వరదల బీభత్సం	Floods in Kerala
3కోట్ల పైమాటేనన్న మాట.	3 lakh upwards.
బాలీవుడ్ హీరోయిన్ నేహా దూపియా, నటుడు అంగద్ బేడీతో పెళ్లికి ముందు నుంచే మంచి స్నేహితులు. వీరి మధ్య లవ్ ఎఫైర్ ఉందనే విషయం కూడా చాలా మందికి తెలియదు. ఈ ఏడ...	Bollywood actor Neha Dhupia and Angad Bedi are one of the most adorable couples of the film industry.
దానికి అందరూ వత్తాసు పలికారు.	Everyone accepted that.
( ఇటాలిక్కులు మావి.)	( b) What is implied by the Scriptural question, Where is Jehovah?
ఏకధాటిగా కురుస్తున్న భారీ వర్షాలకు .	Heavy rainfall...
నరేంద్రమోడీ నేతృత్వంలోని బిజెపి ప్రభుత్వం రాష్ట్రానికి మరోసారి మొండిచెయ్యి చూపింది.	The Bharatiya Janata Party (BJP) under the leadership of Narendra Modi has swept India once again.
చాలా మందికి అతనెవరో తెలియదు.	Most people don't know.
పాట్నా: భారతీయ జనతా పార్టీ జాతీయ అధ్యక్షులు అమిత్ షా శుక్రవారం నాడు జేడీయూ నేత, బీహార్ మాజీ ముఖ్యమంత్రి నితీష్ కుమార్ పైన, ఆర్జేడీ చీఫ్, మాజీ సీఎం లాలూ ప్రసాద్ యాదవ్ పైన తీవ్రస్థాయిలో నిప్పులు చెరిగారు	Patna, Jan 8: Senior JD(U) leader Nitish Kumar today dismissed speculation that his going to Delhi was meant to discuss the fate of Bihar CM with party chief Sharad Yadav, RJD and SP leaders
అయితే, ఆ కారు కొద్ది దూరం వెళ్లగానే ఆగిపోయింది.	However, the vehicle stops a little ahead.
దీనికి ముఖ్య అతిథిగా హాజరై ఆమె మాట్లాడారు.	She was the chief guest on the occasion.
మొత్తంగా మూడు దశల్లో ఉన్నాయి.	There are three stages in total.
